Model,DPO2002B
Firmware Version,1.52

Point Format,Y,,,
Horizontal Units,S,,,
Horizontal Scale,1,,,
Sample Interval,0.00192012,,,
Filter Frequency,7e+07,,,
Record Length,5200,,,
Gating,0.0% to 100.0%,,0.0% to 100.0%,
Probe Attenuation,1,,10,
Vertical Units,V,,V,
Vertical Offset,0,,0,
Vertical Scale,0.2,,0.1,
Label,,,,
TIME,CH1,CH1 Peak Detect,CH2,CH2 Peak Detect
-4.224e+00,0.736,0.728,0.234,0.214
-4.222e+00,0.736,0.744,0.234,0.258
-4.220e+00,0.728,0.72,0.246,0.214
-4.219e+00,0.728,0.744,0.234,0.258
-4.217e+00,0.736,0.72,0.234,0.218
-4.215e+00,0.736,0.744,0.234,0.258
-4.213e+00,0.736,0.72,0.234,0.214
-4.211e+00,0.728,0.744,0.23,0.258
-4.209e+00,0.728,0.72,0.23,0.214
-4.207e+00,0.728,0.736,0.238,0.254
-4.205e+00,0.728,0.72,0.238,0.214
-4.203e+00,0.728,0.736,0.234,0.258
-4.201e+00,0.728,0.72,0.234,0.21
-4.199e+00,0.728,0.736,0.234,0.254
-4.197e+00,0.728,0.712,0.234,0.21
-4.195e+00,0.728,0.736,0.238,0.258
-4.194e+00,0.72,0.712,0.242,0.214
-4.192e+00,0.72,0.736,0.234,0.258
-4.190e+00,0.72,0.712,0.23,0.214
-4.188e+00,0.72,0.736,0.234,0.254
-4.186e+00,0.72,0.712,0.238,0.214
-4.184e+00,0.72,0.728,0.23,0.254
-4.182e+00,0.72,0.712,0.234,0.214
-4.180e+00,0.72,0.728,0.234,0.254
-4.178e+00,0.72,0.712,0.23,0.214
-4.176e+00,0.72,0.728,0.23,0.254
-4.174e+00,0.72,0.704,0.23,0.214
-4.172e+00,0.712,0.728,0.234,0.254
-4.171e+00,0.712,0.704,0.226,0.21
-4.169e+00,0.712,0.728,0.234,0.254
-4.167e+00,0.712,0.704,0.234,0.21
-4.165e+00,0.712,0.72,0.234,0.254
-4.163e+00,0.712,0.696,0.23,0.21
-4.161e+00,0.712,0.72,0.234,0.254
-4.159e+00,0.704,0.696,0.23,0.21
-4.157e+00,0.704,0.72,0.23,0.254
-4.155e+00,0.712,0.696,0.234,0.21
-4.153e+00,0.704,0.72,0.242,0.254
-4.151e+00,0.704,0.696,0.234,0.206
