Model,DPO2002B
Firmware Version,1.52

Point Format,Y,,,
Horizontal Units,S,,,
Horizontal Scale,1,,,
Sample Interval,0.00192012,,,
Filter Frequency,7e+07,,,
Record Length,5200,,,
Gating,0.0% to 100.0%,,0.0% to 100.0%,
Probe Attenuation,1,,10,
Vertical Units,V,,V,
Vertical Offset,0,,0,
Vertical Scale,0.02,,0.5,
Label,,,,
TIME,CH1,CH1 Peak Detect,CH2,CH2 Peak Detect
-4.405e+00,-1.78814e-11,-0.0016,1.55,1.51
-4.403e+00,-1.78814e-11,0.0024,1.55,1.59
-4.401e+00,-1.78814e-11,-0.0016,1.55,1.49
-4.399e+00,0.0008,0.0024,1.53,1.57
-4.397e+00,-1.78814e-11,-0.0016,1.53,1.47
-4.395e+00,-1.78814e-11,0.0024,1.51,1.55
-4.393e+00,0.0008,-0.0016,1.49,1.45
-4.391e+00,-0.0008,0.0024,1.49,1.53
-4.389e+00,-1.78814e-11,-0.0016,1.49,1.41
-4.387e+00,-1.78814e-11,0.0024,1.45,1.51
-4.386e+00,0.0008,-0.0024,1.45,1.39
-4.384e+00,-1.78814e-11,0.0024,1.43,1.49
-4.382e+00,0.0008,-0.0016,1.43,1.37
-4.380e+00,-1.78814e-11,0.0024,1.41,1.45
-4.378e+00,-1.78814e-11,-0.0016,1.41,1.35
-4.376e+00,-1.78814e-11,0.0024,1.39,1.43
-4.374e+00,0.0008,-0.0016,1.37,1.33
-4.372e+00,0.0008,0.0024,1.39,1.41
-4.370e+00,-1.78814e-11,-0.0016,1.35,1.29
-4.368e+00,-1.78814e-11,0.0024,1.33,1.39
-4.366e+00,-1.78814e-11,-0.0016,1.33,1.27
-4.364e+00,-1.78814e-11,0.0024,1.33,1.37
-4.363e+00,-1.78814e-11,-0.0016,1.29,1.25
-4.361e+00,-1.78814e-11,0.0024,1.31,1.33
-4.359e+00,-1.78814e-11,-0.0016,1.27,1.21
-4.357e+00,-1.78814e-11,0.0024,1.27,1.31
-4.355e+00,-1.78814e-11,-0.0016,1.25,1.19
-4.353e+00,0.0008,0.0024,1.23,1.29
-4.351e+00,-1.78814e-11,-0.0016,1.21,1.15
-4.349e+00,0.0008,0.0024,1.19,1.25
-4.347e+00,-1.78814e-11,-0.0016,1.19,1.13
-4.345e+00,-1.78814e-11,0.0024,1.17,1.23
-4.343e+00,-1.78814e-11,-0.0016,1.15,1.09
-4.341e+00,-1.78814e-11,0.0024,1.13,1.19
-4.339e+00,-0.0008,-0.0016,1.13,1.07
-4.338e+00,-1.78814e-11,0.0024,1.11,1.17
-4.336e+00,-1.78814e-11,-0.0016,1.09,1.03
-4.334e+00,-1.78814e-11,0.0024,1.07,1.13
-4.332e+00,0.0008,-0.0016,1.05,1.01
-4.330e+00,-1.78814e-11,0.0024,1.05,1.11
-4.328e+00,0.0008,-0.0016,1.03,0.97
-4.326e+00,0.0008,0.0024,1.03,1.07
-4.324e+00,-0.0008,-0.0016,0.99,0.95
-4.322e+00,0.0008,0.0024,1.01,1.03
-4.320e+00,-1.78814e-11,-0.0016,0.97,0.91
-4.318e+00,-0.0008,0.0016,0.97,1.01
-4.316e+00,0.0008,-0.0016,0.93,0.87
-4.315e+00,0.0008,0.0024,0.93,0.97
-4.313e+00,-0.0008,-0.0016,0.91,0.85
-4.311e+00,-1.78814e-11,0.0024,0.89,0.95
-4.309e+00,0.0008,-0.0016,0.87,0.81
-4.307e+00,0.0008,0.0024,0.85,0.91
-4.305e+00,-1.78814e-11,-0.0016,0.83,0.77
-4.303e+00,0.0008,0.0024,0.83,0.89
-4.301e+00,-1.78814e-11,-0.0016,0.81,0.75
-4.299e+00,-1.78814e-11,0.0024,0.79,0.85
-4.297e+00,-1.78814e-11,-0.0016,0.77,0.71
-4.295e+00,-1.78814e-11,0.0024,0.77,0.81
-4.293e+00,0.0008,-0.0016,0.75,0.67
-4.291e+00,-1.78814e-11,0.0024,0.73,0.77
-4.290e+00,-1.78814e-11,-0.0024,0.69,0.63
-4.288e+00,-1.78814e-11,0.0024,0.69,0.75
-4.286e+00,-1.78814e-11,-0.0016,0.65,0.61
-4.284e+00,-1.78814e-11,0.0016,0.63,0.71
-4.282e+00,0.0008,-0.0016,0.63,0.57
-4.280e+00,-1.78814e-11,0.0024,0.61,0.67
-4.278e+00,0.0008,-0.0016,0.59,0.53
-4.276e+00,-1.78814e-11,0.0024,0.59,0.63
